time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-11-02 09:30:00-05:00,BuyHold,a13a74a6dab14b5cbde2de7e705fe379,GOOG,buy,market,new,1,gtc,0.0,1,stock,,,
2020-11-02 09:30:00-05:00,BuyHold,a13a74a6dab14b5cbde2de7e705fe379,GOOG,buy,market,fill,1,gtc,0.0,1,stock,81.40799713134766,1228.0,0.0
